id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1,Women,Apparel,Topwear,Denim Jacket,White,Winter,2020,Travel,Women Denim Jacket in White
2,Women,Apparel,Bottomwear,Palazzo Pants,Grey,Winter,2020,Ethnic,Women Palazzo Pants in Grey
3,Women,Footwear,Footwear,Flip Flops,Black,Winter,2020,Casual,Women Flip Flops in Black
4,Men,Apparel,Topwear,Hoodie,Navy Blue,Monsoon,2024,Travel,Men Hoodie in Navy Blue
5,Men,Apparel,Bottomwear,Formal Pants,Beige,Monsoon,2024,Formal,Men Formal Pants in Beige
6,Men,Footwear,Footwear,Sneakers,White,Monsoon,2024,Casual,Men Sneakers in White
7,Men,Apparel,Topwear,T-shirt,Pastel Pink,Winter,2018,Casual,Men T-shirt in Pastel Pink
8,Men,Apparel,Bottomwear,Cargo Pants,Grey,Winter,2018,Travel,Men Cargo Pants in Grey
9,Men,Footwear,Footwear,Heels,White,Winter,2018,Party,Men Heels in White
10,Women,Apparel,Topwear,Blouse,Pastel Pink,Spring,2015,Party,Women Blouse in Pastel Pink
11,Women,Apparel,Bottomwear,Skirt,Olive,Spring,2015,Party,Women Skirt in Olive
12,Women,Footwear,Footwear,Flip Flops,Navy Blue,Spring,2015,Casual,Women Flip Flops in Navy Blue
13,Men,Apparel,Topwear,Hoodie,Maroon,Winter,2021,Travel,Men Hoodie in Maroon
14,Men,Apparel,Bottomwear,Joggers,Olive,Winter,2021,Travel,Men Joggers in Olive
15,Men,Footwear,Footwear,Running Shoes,White,Winter,2021,Travel,Men Running Shoes in White
16,Men,Apparel,Topwear,Shirt,Black,Spring,2018,Formal,Men Shirt in Black
17,Men,Apparel,Bottomwear,Joggers,Grey,Spring,2018,Travel,Men Joggers in Grey
18,Men,Footwear,Footwear,Sneakers,Brown,Spring,2018,Casual,Men Sneakers in Brown
19,Women,Apparel,Topwear,Formal Shirt,Maroon,Spring,2018,Formal,Women Formal Shirt in Maroon
20,Women,Apparel,Bottomwear,Shorts,Grey,Spring,2018,Casual,Women Shorts in Grey
21,Women,Footwear,Footwear,Sneakers,Navy Blue,Spring,2018,Casual,Women Sneakers in Navy Blue
22,Men,Apparel,Topwear,Hoodie,Olive,Summer,2021,Travel,Men Hoodie in Olive
23,Men,Apparel,Bottomwear,Cargo Pants,Beige,Summer,2021,Travel,Men Cargo Pants in Beige
24,Men,Footwear,Footwear,Running Shoes,Navy Blue,Summer,2021,Travel,Men Running Shoes in Navy Blue
25,Women,Apparel,Topwear,T-shirt,Pastel Pink,Spring,2022,Casual,Women T-shirt in Pastel Pink
26,Women,Apparel,Bottomwear,Skirt,White,Spring,2022,Party,Women Skirt in White
27,Women,Footwear,Footwear,Boots,Grey,Spring,2022,Travel,Women Boots in Grey
28,Men,Apparel,Topwear,Sweater,Maroon,Spring,2022,Travel,Men Sweater in Maroon
29,Men,Apparel,Bottomwear,Cargo Pants,Black,Spring,2022,Travel,Men Cargo Pants in Black
30,Men,Footwear,Footwear,Flip Flops,Navy Blue,Spring,2022,Casual,Men Flip Flops in Navy Blue
31,Men,Apparel,Topwear,Denim Jacket,Beige,Fall,2021,Travel,Men Denim Jacket in Beige
32,Men,Apparel,Bottomwear,Formal Pants,Olive,Fall,2021,Formal,Men Formal Pants in Olive
33,Men,Footwear,Footwear,Boots,Brown,Fall,2021,Travel,Men Boots in Brown
34,Women,Apparel,Topwear,Hoodie,White,Spring,2022,Travel,Women Hoodie in White
35,Women,Apparel,Bottomwear,Formal Pants,Grey,Spring,2022,Formal,Women Formal Pants in Grey
36,Women,Footwear,Footwear,Flip Flops,Navy Blue,Spring,2022,Casual,Women Flip Flops in Navy Blue
37,Women,Apparel,Topwear,Sweater,Olive,Spring,2018,Travel,Women Sweater in Olive
38,Women,Apparel,Bottomwear,Shorts,Beige,Spring,2018,Casual,Women Shorts in Beige
39,Women,Footwear,Footwear,Heels,Black,Spring,2018,Party,Women Heels in Black
40,Women,Apparel,Topwear,Hoodie,Beige,Winter,2024,Travel,Women Hoodie in Beige
41,Women,Apparel,Bottomwear,Formal Pants,Grey,Winter,2024,Formal,Women Formal Pants in Grey
42,Women,Footwear,Footwear,Heels,Black,Winter,2024,Party,Women Heels in Black
43,Men,Apparel,Topwear,Blouse,Sky Blue,Monsoon,2019,Party,Men Blouse in Sky Blue
44,Men,Apparel,Bottomwear,Palazzo Pants,White,Monsoon,2019,Ethnic,Men Palazzo Pants in White
45,Men,Footwear,Footwear,Heels,Navy Blue,Monsoon,2019,Party,Men Heels in Navy Blue
